Recording timestamp,Computer timestamp,Sensor,Project name,Export date,Participant name,Recording name,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Recording Fixation filter name,Event,Event value,Gaze point X,Gaze point Y,Gaze point 3D X,Gaze point 3D Y,Gaze point 3D Z,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil position left X,Pupil position left Y,Pupil position left Z,Pupil position right X,Pupil position right Y,Pupil position right Z,Pupil diameter left,Pupil diameter right,Validity left,Validity right,Recording media name,Recording media width,Recording media height,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Gyro X,Gyro Y,Gyro Z,Accelerometer X,Accelerometer Y,Accelerometer Z
1100933,212005972,Accelerometer,Jenga-project,23.6.2022,T1,Recording001,1/1/2000,1/1/2000,2:19:16 AM,12:19:16 AM,58577,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,fullstream.mp4,1920,1080,Fixation,440,5,953,518,,,,-10591,-93956,33621
1101814,212006853,Gyroscope,Jenga-project,23.6.2022,T1,Recording001,1/1/2000,1/1/2000,2:19:16 AM,12:19:16 AM,58577,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,fullstream.mp4,1920,1080,Fixation,440,5,953,518,207900,-13841,-94844,,,
1109375,212014414,Eye Tracker,Jenga-project,23.6.2022,T1,Recording001,1/1/2000,1/1/2000,2:19:16 AM,12:19:16 AM,58577,Tobii I-VT (Attention),,,938,551,140557,-2544,3638614,-3412,8184,99606,11310,4213,99269,2963,-2629,-3652,-3303,-2394,-3312,589,542,Valid,Valid,fullstream.mp4,1920,1080,Fixation,440,5,953,518,,,,,,
1110754,212015793,Accelerometer,Jenga-project,23.6.2022,T1,Recording001,1/1/2000,1/1/2000,2:19:16 AM,12:19:16 AM,58577,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,fullstream.mp4,1920,1080,Fixation,440,5,953,518,,,,-11376,-94729,33485
1112695,212017734,Gyroscope,Jenga-project,23.6.2022,T1,Recording001,1/1/2000,1/1/2000,2:19:16 AM,12:19:16 AM,58577,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,fullstream.mp4,1920,1080,Fixation,440,5,953,518,198100,-10759,-92168,,,
1119370,212024409,Eye Tracker,Jenga-project,23.6.2022,T1,Recording001,1/1/2000,1/1/2000,2:19:16 AM,12:19:16 AM,58577,Tobii I-VT (Attention),,,938,548,141454,5366,3650480,-3486,7989,99619,11433,4725,99232,2928,-2639,-3655,-3294,-2368,-3307,595,539,Valid,Valid,fullstream.mp4,1920,1080,Fixation,440,5,953,518,,,,,,
1120575,212025614,Accelerometer,Jenga-project,23.6.2022,T1,Recording001,1/1/2000,1/1/2000,2:19:16 AM,12:19:16 AM,58577,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,fullstream.mp4,1920,1080,Fixation,440,5,953,518,,,,-10199,-95047,33030
1123576,212028615,Gyroscope,Jenga-project,23.6.2022,T1,Recording001,1/1/2000,1/1/2000,2:19:16 AM,12:19:16 AM,58577,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,fullstream.mp4,1920,1080,Fixation,440,5,953,518,183400,-3905,-86695,,,
1129363,212034402,Eye Tracker,Jenga-project,23.6.2022,T1,Recording001,1/1/2000,1/1/2000,2:19:16 AM,12:19:16 AM,58577,Tobii I-VT (Attention),,,938,545,143304,16482,3718715,-3309,8432,99589,11183,4648,99264,2964,-2629,-3653,-3304,-2394,-3313,590,543,Valid,Valid,fullstream.mp4,1920,1080,Fixation,440,5,953,518,,,,,,
1130396,212035435,Accelerometer,Jenga-project,23.6.2022,T1,Recording001,1/1/2000,1/1/2000,2:19:16 AM,12:19:16 AM,58577,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,fullstream.mp4,1920,1080,Fixation,440,5,953,518,,,,-9022,-95365,32576
1134457,212039496,Gyroscope,Jenga-project,23.6.2022,T1,Recording001,1/1/2000,1/1/2000,2:19:16 AM,12:19:16 AM,58577,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,fullstream.mp4,1920,1080,Fixation,440,5,953,518,163100,-3985,-78180,,,
1139349,212044388,Eye Tracker,Jenga-project,23.6.2022,T1,Recording001,1/1/2000,1/1/2000,2:19:16 AM,12:19:16 AM,58577,Tobii I-VT (Attention),,,939,547,140274,10038,3695508,-3502,7949,99622,11298,4824,99243,2929,-2638,-3656,-3294,-2358,-3321,593,542,Valid,Valid,fullstream.mp4,1920,1080,Fixation,440,5,953,518,,,,,,
1140217,212045256,Accelerometer,Jenga-project,23.6.2022,T1,Recording001,1/1/2000,1/1/2000,2:19:16 AM,12:19:16 AM,58577,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,fullstream.mp4,1920,1080,Fixation,440,5,953,518,,,,-8630,-95115,33417
1145338,212050377,Gyroscope,Jenga-project,23.6.2022,T1,Recording001,1/1/2000,1/1/2000,2:19:16 AM,12:19:16 AM,58577,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,fullstream.mp4,1920,1080,Fixation,440,5,953,518,152600,-13105,-50645,,,
1149345,212054384,Eye Tracker,Jenga-project,23.6.2022,T1,Recording001,1/1/2000,1/1/2000,2:19:16 AM,12:19:16 AM,58577,Tobii I-VT (Attention),,,939,551,137385,-3968,3612248,-3565,8105,99607,11353,4288,99261,2965,-2627,-3652,-3303,-2390,-3316,585,540,Valid,Valid,fullstream.mp4,1920,1080,Fixation,440,5,953,518,,,,,,
1150038,212055077,Accelerometer,Jenga-project,23.6.2022,T1,Recording001,1/1/2000,1/1/2000,2:19:16 AM,12:19:16 AM,58577,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,fullstream.mp4,1920,1080,Fixation,440,5,953,518,,,,-8630,-92934,34598
1156219,212061258,Gyroscope,Jenga-project,23.6.2022,T1,Recording001,1/1/2000,1/1/2000,2:19:16 AM,12:19:16 AM,58577,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,fullstream.mp4,1920,1080,Fixation,440,5,953,518,152600,-25144,-18649,,,
1159335,212064374,Eye Tracker,Jenga-project,23.6.2022,T1,Recording001,1/1/2000,1/1/2000,2:19:16 AM,12:19:16 AM,58577,Tobii I-VT (Attention),,,939,549,139553,2630,3645787,-3598,7775,99632,11451,4780,99227,2929,-2637,-3656,-3294,-2357,-3319,590,539,Valid,Valid,fullstream.mp4,1920,1080,Fixation,440,5,953,518,,,,,,
1159859,212064898,Accelerometer,Jenga-project,23.6.2022,T1,Recording001,1/1/2000,1/1/2000,2:19:16 AM,12:19:16 AM,58577,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,fullstream.mp4,1920,1080,Fixation,440,5,953,518,,,,-9414,-90684,35393
1167100,212072139,Gyroscope,Jenga-project,23.6.2022,T1,Recording001,1/1/2000,1/1/2000,2:19:16 AM,12:19:16 AM,58577,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,fullstream.mp4,1920,1080,Fixation,440,5,953,518,171500,-36983,-7943,,,
1169331,212074370,Eye Tracker,Jenga-project,23.6.2022,T1,Recording001,1/1/2000,1/1/2000,2:19:16 AM,12:19:16 AM,58577,Tobii I-VT (Attention),,,939,545,139919,14890,3705771,-3536,8140,99605,11263,4882,99244,2968,-2626,-3655,-3304,-2388,-3319,582,542,Valid,Valid,fullstream.mp4,1920,1080,Fixation,440,5,953,518,,,,,,
1169680,212074719,Accelerometer,Jenga-project,23.6.2022,T1,Recording001,1/1/2000,1/1/2000,2:19:16 AM,12:19:16 AM,58577,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,fullstream.mp4,1920,1080,Fixation,440,5,953,518,,,,-10199,-89411,37211
1177981,212083020,Gyroscope,Jenga-project,23.6.2022,T1,Recording001,1/1/2000,1/1/2000,2:19:16 AM,12:19:16 AM,58577,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,fullstream.mp4,1920,1080,Fixation,440,5,953,518,198800,-47040,-15402,,,
1179317,212084356,Eye Tracker,Jenga-project,23.6.2022,T1,Recording001,1/1/2000,1/1/2000,2:19:16 AM,12:19:16 AM,58577,Tobii I-VT (Attention),,,938,544,142639,19226,3693144,-3519,7985,99619,11425,5229,99207,2932,-2635,-3658,-3294,-2355,-3320,588,540,Valid,Valid,fullstream.mp4,1920,1080,Fixation,440,5,953,518,,,,,,
1179501,212084540,Accelerometer,Jenga-project,23.6.2022,T1,Recording001,1/1/2000,1/1/2000,2:19:16 AM,12:19:16 AM,58577,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,fullstream.mp4,1920,1080,Fixation,440,5,953,518,,,,-10983,-90456,38620
1188862,212093901,Gyroscope,Jenga-project,23.6.2022,T1,Recording001,1/1/2000,1/1/2000,2:19:16 AM,12:19:16 AM,58577,Tobii I-VT (Attention),,,,,,,,,,,,,,,,,,,,,,,,fullstream.mp4,1920,1080,Fixation,440,5,953,518,219100,-47649,-24039,,,
